,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
4618,2017-06-17,UFC Fight Night: Holm vs. Correia,353de740bb6c7e75,Takanori Gomi,Jon Tuck,3be081c29bf734d9,53ec9cb470e1a4ea
4619,2017-09-22,UFC Fight Night: Saint Preux vs. Okami,9211aae062b799d6,Takanori Gomi,Dong Hyun Ma,3be081c29bf734d9,98a6b2361045898f
4620,2011-05-29,DREAM - Fight for Japan,a149d6bc670cdb60,Takeshi Inoue,Koichiro Matsumoto,a61a0cd2829e5d4e,2fb6f197d1fbc779
4621,2008-05-11,DREAM 3: Lightweight Grand Prix 2008 2nd Round,911fb265462f0d94,Takeshi Yamazaki,Shoji Maruyama,d1d20e651e6cbc02,c046100aea0dba9a
4622,2009-08-09,WEC 42: Torres vs. Bowles,d26934530dc5b248,Takeya Mizugaki,Jeff Curran,48e093ea1f43a053,a8ea84cbe1655f0a
4623,2010-04-24,WEC 48: Aldo vs. Faber,b18fb36a4aa00093,Takeya Mizugaki,Rani Yahya,48e093ea1f43a053,94527830000ab715
4624,2011-03-03,UFC on VERSUS: Sanchez vs Kampmann,a54fc2d6fc224dc3,Takeya Mizugaki,Reuben Duran,48e093ea1f43a053,4417980b3e798abf
4625,2011-09-24,UFC 135: Jones vs Rampage,73ef22f25d0f70e2,Takeya Mizugaki,Cole Escovedo,48e093ea1f43a053,5df17b3620145578
4626,2012-02-25,UFC 144: Edgar vs Henderson,8377c5572cb356f3,Takeya Mizugaki,Chris Cariaso,48e093ea1f43a053,b2e3aca4cd363477
4627,2012-11-10,UFC Macao: Franklin vs Le,319fa1bd3176bded,Takeya Mizugaki,Jeff Hougland,48e093ea1f43a053,97a8f39186f489db
4628,2013-03-02,UFC on FUEL TV: Japan,83c6c3e0f8bde8ee,Takeya Mizugaki,Bryan Caraway,48e093ea1f43a053,5ef0088c1b19beeb
4629,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,e5c38954c006f15c,Takeya Mizugaki,Erik Perez,48e093ea1f43a053,af62f99eb7606308
4630,2013-12-06,UFC Fight Night: Hunt vs Bigfoot,ee457ef1e1c326c1,Takeya Mizugaki,Nam Phan,48e093ea1f43a053,80dbeb1dd5b53e64
4631,2014-05-24,UFC 173: Barao vs Dillashaw,9ca265dfe8323db3,Takeya Mizugaki,Francisco Rivera,48e093ea1f43a053,7ea4a9f07df33a45
